courier_id,pincode,rto_rate_90d,rto_rate_30d,rto_rate_7d,avg_delivery_days,ndr_rate,trend,total_orders,successful_orders,rto_orders,data_quality,data_age_days,rto_rate,recent_change
C02,560004,0.0641,0.0969,0.0986,2.68,0.0842,STABLE,33.0,30.0,3.0,,,0.09090909090909091,0.0016999999999999932
C02,560005,0.0394,0.039,0.0217,3.66,0.0842,STABLE,37.0,37.0,0.0,,,0.0,-0.0173
C02,560006,0.0824,0.0829,0.0804,3.39,0.0828,STABLE,29.0,26.0,3.0,,,0.10344827586206896,-0.0025000000000000022
C02,560007,0.0512,0.0601,0.052,2.62,0.1084,STABLE,30.0,29.0,1.0,,,0.03333333333333333,-0.008100000000000003
C02,560008,0.077,0.0895,0.0833,2.53,0.1196,STABLE,28.0,26.0,2.0,,,0.07142857142857142,-0.006199999999999997
C02,560009,0.05,0.08,0.33,3.26,0.1016,DETERIORATING,3.0,1.0,2.0,,,0.6666666666666666,0.25
C02,560010,0.0584,0.0659,0.0977,2.62,0.084,STABLE,25.0,24.0,1.0,,,0.04,0.031799999999999995
C02,560011,0.0559,0.0462,0.0652,2.88,0.1156,STABLE,28.0,27.0,1.0,,,0.03571428571428571,0.018999999999999996
C02,560012,0.0568,0.0672,0.0864,2.68,0.0842,STABLE,25.0,21.0,4.0,,,0.16,0.01920000000000001
C02,560013,0.039,0.0556,0.0719,3.58,0.1128,STABLE,27.0,25.0,2.0,,,0.07407407407407407,0.01630000000000001
C02,560014,0.0443,0.048,0.0526,3.78,0.1054,STABLE,32.0,29.0,3.0,,,0.09375,0.0046
C02,560015,0.0621,0.0726,0.0984,2.97,0.1107,STABLE,29.0,29.0,0.0,STALE,45.0,0.0,0.025800000000000003
C02,560016,0.0718,0.0878,0.1056,2.66,0.1098,STABLE,36.0,33.0,3.0,,,0.08333333333333333,0.017799999999999996
C02,560017,0.0792,0.0813,0.0606,3.22,0.1004,STABLE,32.0,25.0,7.0,,,0.21875,-0.020699999999999996
C02,560068,0.046,0.048,0.0326,3.88,0.1542,STABLE,36.0,35.0,1.0,,,0.027777777777777776,-0.015400000000000004
C02,560076,0.0779,0.0715,0.0393,3.73,0.1342,STABLE,38.0,37.0,1.0,,,0.02631578947368421,-0.03219999999999999
C02,560100,0.0589,0.0539,0.0553,3.88,0.1146,STABLE,18.0,16.0,2.0,,,0.1111111111111111,0.0013999999999999985
C03,560001,0.06,0.06,0.05,2.67,0.0704,STABLE,15.0,14.0,1.0,,,0.06666666666666667,-0.009999999999999995
C03,560002,0.088,0.0946,0.0717,2.5,0.1089,STABLE,32.0,31.0,1.0,,,0.03125,-0.022900000000000004
C03,560003,0.1208,0.143,0.1675,2.74,0.0756,STABLE,47.0,46.0,1.0,,,0.02127659574468085,0.024500000000000022
C03,560004,0.0754,0.0756,0.0835,2.67,0.0704,STABLE,29.0,26.0,3.0,,,0.10344827586206896,0.007900000000000004
C03,560005,0.0832,0.0756,0.0676,3.65,0.0704,STABLE,35.0,30.0,5.0,,,0.14285714285714285,-0.008000000000000007
C03,560006,0.0496,0.0404,0.0703,3.38,0.069,STABLE,21.0,17.0,4.0,,,0.19047619047619047,0.029900000000000003
C03,560007,0.055,0.0512,0.0569,2.62,0.0946,STABLE,26.0,25.0,1.0,,,0.038461538461538464,0.005699999999999997
C03,560008,0.0481,0.0594,0.0822,2.52,0.1058,STABLE,24.0,21.0,3.0,,,0.125,0.022799999999999994
C03,560009,0.072,0.0918,0.0679,3.25,0.0878,STABLE,33.0,32.0,1.0,,,0.030303030303030304,-0.023900000000000005
C03,560010,0.0916,0.0828,0.0598,2.6,0.0702,STABLE,29.0,27.0,2.0,,,0.06896551724137931,-0.023
C03,560011,0.0558,0.0783,0.078,2.88,0.1018,STABLE,31.0,31.0,0.0,,,0.0,-0.0002999999999999947
C03,560012,0.049,0.0334,0.0315,2.67,0.0704,STABLE,27.0,26.0,1.0,,,0.037037037037037035,-0.001899999999999999
C03,560013,0.0304,0.0148,0.0426,3.57,0.099,STABLE,34.0,32.0,2.0,,,0.058823529411764705,0.0278
C03,560014,0.0802,0.0787,0.0703,3.76,0.0915,STABLE,34.0,32.0,2.0,,,0.058823529411764705,-0.008400000000000005
C03,560015,0.0696,0.0978,0.105,2.96,0.0969,STABLE,32.0,32.0,0.0,,,0.0,0.007199999999999998
C03,560016,0.0923,0.0899,0.091,2.65,0.096,STABLE,23.0,22.0,1.0,,,0.043478260869565216,0.0011000000000000038
C03,560017,0.0924,0.0939,0.0598,3.21,0.0866,STABLE,34.0,32.0,2.0,,,0.058823529411764705,-0.0341
C03,560068,0.0947,0.0873,0.1253,3.87,0.1404,STABLE,26.0,25.0,1.0,,,0.038461538461538464,0.03799999999999999
C03,560076,0.0958,0.0966,0.1045,3.72,0.1204,STABLE,23.0,22.0,1.0,,,0.043478260869565216,0.00789999999999999
C03,560100,0.0588,0.053,0.0567,3.86,0.1008,STABLE,23.0,19.0,4.0,,,0.17391304347826086,0.003700000000000002
C04,560001,0.0642,0.0587,0.0475,2.97,0.0967,STABLE,22.0,21.0,1.0,,,0.045454545454545456,-0.011200000000000002
C04,560002,0.0688,0.0802,0.1063,2.8,0.1352,STABLE,19.0,19.0,0.0,,,0.0,0.026100000000000012
C04,560003,0.0784,0.0854,0.0741,3.04,0.1018,STABLE,31.0,28.0,3.0,,,0.0967741935483871,-0.011300000000000004
C04,560004,0.0641,0.0707,0.0579,2.97,0.0967,STABLE,36.0,32.0,4.0,,,0.1111111111111111,-0.012799999999999999
C04,560005,0.0286,0.014,0.01,3.95,0.0967,STABLE,30.0,28.0,2.0,,,0.06666666666666667,-0.004
C04,560006,0.0801,0.0987,0.0908,3.68,0.0952,STABLE,32.0,29.0,3.0,,,0.09375,-0.00789999999999999
C04,560007,0.0419,0.0451,0.0453,2.92,0.1209,STABLE,28.0,26.0,2.0,,,0.07142857142857142,0.0001999999999999988
C04,560008,0.0742,0.0679,0.085,2.82,0.1321,STABLE,34.0,32.0,2.0,,,0.058823529411764705,0.017100000000000004
C04,560009,0.0508,0.061,0.0561,3.55,0.114,STABLE,32.0,29.0,3.0,,,0.09375,-0.004900000000000002
C04,560010,0.0428,0.0657,0.0849,2.9,0.0965,STABLE,32.0,31.0,1.0,,,0.03125,0.01920000000000001
C04,560011,0.0205,0.0152,0.0368,3.18,0.1281,STABLE,32.0,30.0,2.0,,,0.0625,0.0216
C04,560012,0.033,0.0422,0.0543,2.97,0.0967,STABLE,33.0,31.0,2.0,,,0.06060606060606061,0.0121
C04,560013,0.0379,0.0378,0.01,3.86,0.1252,STABLE,35.0,32.0,3.0,,,0.08571428571428572,-0.0278
C04,560014,,,,4.06,,STABLE,27.0,23.0,4.0,MISSING,,0.14814814814814814,
C04,560015,0.0659,0.0822,0.0744,3.26,0.1232,STABLE,27.0,26.0,1.0,,,0.037037037037037035,-0.007800000000000001
C04,560016,0.0697,0.0764,0.0921,2.95,0.1223,STABLE,28.0,26.0,2.0,,,0.07142857142857142,0.015700000000000006
C04,560017,0.088,0.0823,0.0703,3.51,0.1128,STABLE,27.0,26.0,1.0,,,0.037037037037037035,-0.011999999999999997
C04,560068,0.0839,0.0594,0.0877,4.17,0.1666,STABLE,31.0,30.0,1.0,,,0.03225806451612903,0.0283
C04,560076,0.0689,0.0689,0.0566,4.02,0.1466,STABLE,37.0,35.0,2.0,,,0.05405405405405406,-0.012300000000000005
C04,560100,0.1,0.1,0.1,4.16,0.127,STABLE,2.0,2.0,0.0,,,0.0,0.0
C07,560001,0.0599,0.061,0.0349,3.5,0.125,STABLE,30.0,29.0,1.0,,,0.03333333333333333,-0.026099999999999998
C07,560002,0.063,0.0589,0.0671,3.33,0.1635,STABLE,23.0,22.0,1.0,,,0.043478260869565216,0.008200000000000006
C07,560003,0.0756,0.0874,0.0959,3.58,0.1302,STABLE,29.0,29.0,0.0,,,0.0,0.008499999999999994
C07,560004,0.0533,0.0806,0.0879,3.5,0.125,STABLE,31.0,29.0,2.0,,,0.06451612903225806,0.007300000000000001
C07,560005,0.0505,0.0728,0.0944,4.48,0.125,STABLE,32.0,30.0,2.0,,,0.0625,0.021599999999999994
C07,560006,0.0914,0.0901,0.1077,4.21,0.1236,STABLE,29.0,24.0,5.0,,,0.1724137931034483,0.017600000000000005
C07,560007,0.0278,0.0372,0.0344,3.44,0.1492,STABLE,26.0,26.0,0.0,,,0.0,-0.002799999999999997
C07,560008,0.0415,0.0539,0.0213,3.35,0.1604,STABLE,26.0,25.0,1.0,,,0.038461538461538464,-0.032600000000000004
C07,560009,0.0272,0.0316,0.0418,4.08,0.1424,STABLE,38.0,38.0,0.0,,,0.0,0.010199999999999994
C07,560010,0.0681,0.077,0.1035,3.43,0.1248,STABLE,37.0,35.0,2.0,,,0.05405405405405406,0.026499999999999996
C07,560011,0.0595,0.0579,0.0565,3.7,0.1564,STABLE,38.0,38.0,0.0,,,0.0,-0.0013999999999999985
C07,560012,0.0483,0.0518,0.0321,3.5,0.125,STABLE,40.0,38.0,2.0,,,0.05,-0.019700000000000002
C07,560013,0.055,0.054,0.0589,4.39,0.1536,STABLE,36.0,34.0,2.0,,,0.05555555555555555,0.004900000000000002
C07,560014,0.0541,0.0247,0.01,4.6,0.1462,STABLE,20.0,20.0,0.0,,,0.0,-0.0147
C07,560015,0.0566,0.056,0.0606,3.79,0.1515,STABLE,15.0,14.0,1.0,,,0.06666666666666667,0.0046
C07,560016,0.0727,0.0909,0.0966,3.48,0.1506,STABLE,29.0,26.0,3.0,,,0.10344827586206896,0.005700000000000011
C07,560017,0.0676,0.0484,0.0237,4.04,0.1412,STABLE,37.0,36.0,1.0,,,0.02702702702702703,-0.0247
C07,560068,0.08,0.15,0.29,5.6,0.27,SEVERE_DETERIORATION,27.0,23.0,4.0,,,0.14814814814814814,0.13999999999999999
C07,560076,0.0909,0.1094,0.0945,4.55,0.175,STABLE,25.0,25.0,0.0,,,0.0,-0.014899999999999997
C07,560100,0.0454,0.0484,0.0852,4.7,0.1554,STABLE,29.0,28.0,1.0,,,0.034482758620689655,0.0368
