customer_id,account_age_days,previous_orders,successful_orders,previous_rto,previous_cod_orders,successful_cod_orders,failed_cod_orders,previous_cancellations,phone_verified,address_verified,customer_type
CUST-035,39,2,2,0,0,0,0,0,True,True,NEW
CUST-036,1028,5,3,2,5,3,2,0,True,True,ATYPICAL_LEGITIMATE
CUST-037,258,10,9,1,5,4,1,0,True,True,ATYPICAL_LEGITIMATE
CUST-038,901,9,7,1,7,6,1,1,True,True,ATYPICAL_LEGITIMATE
CUST-039,184,7,5,2,2,0,2,0,True,True,ATYPICAL_LEGITIMATE
CUST-040,569,7,5,2,4,2,2,0,True,True,ATYPICAL_LEGITIMATE
CUST-041,924,5,5,0,5,5,0,0,True,True,ATYPICAL_LEGITIMATE
CUST-042,214,5,4,1,5,4,1,0,True,True,ATYPICAL_LEGITIMATE
CUST-043,1167,7,5,2,2,0,2,0,True,True,ATYPICAL_LEGITIMATE
CUST-044,400,10,10,0,3,3,0,0,True,True,ATYPICAL_LEGITIMATE
CUST-045,881,7,6,1,5,4,1,0,True,True,ATYPICAL_LEGITIMATE
CUST-046,34,0,0,0,0,0,0,0,True,True,NEW
CUST-047,667,30,29,1,14,13,1,0,True,True,LOYAL
CUST-048,177,9,8,0,8,8,0,1,True,True,LOYAL
CUST-049,440,23,23,0,8,8,0,0,True,True,LOYAL
CUST-050,564,10,10,0,9,9,0,0,True,True,LOYAL
CUST-051,594,1,0,0,1,1,0,2,True,True,NORMAL
CUST-052,870,30,28,1,17,16,1,1,True,True,LOYAL
CUST-053,208,28,26,1,23,22,1,1,True,True,LOYAL
CUST-054,1096,27,27,0,11,11,0,0,True,True,LOYAL
CUST-055,643,19,18,0,9,9,0,1,True,True,LOYAL
CUST-056,1195,25,24,1,24,23,1,0,True,True,LOYAL
CUST-057,296,29,28,0,13,13,0,1,True,True,LOYAL
CUST-058,18,2,2,0,2,2,0,0,True,True,NEW
CUST-059,164,4,2,1,4,3,1,1,True,False,NORMAL
CUST-060,743,21,20,1,7,6,1,0,True,True,LOYAL
CUST-061,79,12,4,4,3,0,4,4,True,True,RISKY
CUST-062,816,30,30,0,27,27,0,0,True,True,LOYAL
CUST-063,141,3,2,1,1,0,1,0,True,False,NORMAL
CUST-064,40,0,0,0,0,0,0,0,True,True,NEW
CUST-065,15,1,1,0,0,0,0,0,False,True,NEW
CUST-066,427,10,10,0,8,8,0,0,True,True,ATYPICAL_LEGITIMATE
CUST-067,606,6,3,1,6,5,1,2,False,True,NORMAL
CUST-068,1023,30,30,0,22,22,0,0,True,True,LOYAL
CUST-069,516,22,21,1,16,15,1,0,True,True,LOYAL
CUST-070,202,14,12,1,9,8,1,1,True,True,LOYAL
CUST-071,1158,6,4,1,6,5,1,1,True,True,ATYPICAL_LEGITIMATE
CUST-072,603,8,8,0,4,4,0,0,True,True,LOYAL
CUST-073,953,27,25,1,20,19,1,1,True,True,LOYAL
CUST-074,953,9,7,0,6,6,0,2,True,True,NORMAL
CUST-075,203,25,24,0,19,19,0,1,True,True,LOYAL
CUST-076,24,1,1,0,1,1,0,0,True,True,NEW
CUST-077,452,11,9,1,5,4,1,1,True,True,NORMAL
CUST-078,647,7,6,0,4,4,0,1,True,True,NORMAL
CUST-079,965,26,24,1,22,21,1,1,True,True,LOYAL
CUST-080,746,9,6,1,2,1,1,2,True,True,NORMAL
CUST-081,361,15,14,1,8,7,1,0,True,True,LOYAL
CUST-082,992,15,14,1,14,13,1,0,True,True,LOYAL
CUST-083,559,11,7,2,3,1,2,2,True,True,NORMAL
CUST-084,508,30,29,0,13,13,0,1,True,True,LOYAL
CUST-085,308,30,29,1,11,10,1,0,True,True,LOYAL
CUST-086,966,13,8,3,10,7,3,2,False,True,NORMAL
CUST-087,1032,12,8,3,8,5,3,1,False,True,NORMAL
CUST-088,1052,13,10,1,13,12,1,2,True,True,NORMAL
CUST-089,714,5,2,1,0,0,1,2,True,True,NORMAL
CUST-090,14,0,0,0,0,0,0,0,True,True,NEW
CUST-091,483,2,0,1,1,0,1,1,True,True,NORMAL
CUST-092,671,8,0,4,1,0,4,4,True,False,RISKY
CUST-093,119,8,0,4,4,0,4,4,True,True,RISKY
CUST-094,321,11,7,2,6,4,2,2,True,True,NORMAL
CUST-095,231,8,8,0,5,5,0,0,True,True,ATYPICAL_LEGITIMATE
CUST-096,991,3,2,1,1,0,1,0,True,True,NORMAL
CUST-097,576,20,18,1,18,17,1,1,True,True,LOYAL
CUST-098,200,9,6,2,9,7,2,1,False,True,RISKY
CUST-099,372,12,8,2,1,0,2,2,True,True,RISKY
CUST-100,584,23,22,0,13,13,0,1,True,True,LOYAL
