attempt_id,order_id,attempt_number,attempt_date,attempt_status,failure_reason,customer_contacted,rescheduled,delivery_agent_note
ATT-00022,ORD-10020,1,2026-07-01,FAILED,CUSTOMER_UNAVAILABLE,False,False,Delivery attempt unsuccessful
ATT-00023,ORD-10021,1,2026-08-28,FAILED,PHONE_UNREACHABLE,True,False,Delivery attempt unsuccessful
ATT-00024,ORD-10021,2,2026-08-28,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00025,ORD-10021,3,2026-08-28,FAILED,DELIVERY_DELAY,False,False,Delivery attempt unsuccessful
ATT-00026,ORD-10022,1,2026-06-29,DELIVERED,,True,False,Delivered successfully
ATT-00027,ORD-10023,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00028,ORD-10024,1,2026-07-29,DELIVERED,,True,False,Delivered successfully
ATT-00029,ORD-10025,1,2026-09-01,DELIVERED,,True,False,Delivered successfully
ATT-00030,ORD-10026,1,2026-08-03,DELIVERED,,True,False,Delivered successfully
ATT-00031,ORD-10027,1,2026-06-28,DELIVERED,,True,False,Delivered successfully
ATT-00032,ORD-10028,1,2026-07-03,DELIVERED,,True,False,Delivered successfully
ATT-00033,ORD-10029,1,2026-08-20,DELIVERED,,True,False,Delivered successfully
ATT-00034,ORD-10030,1,2026-08-06,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00035,ORD-10030,2,2026-08-06,FAILED,ADDRESS_NOT_FOUND,True,False,Delivery attempt unsuccessful
ATT-00036,ORD-10030,3,2026-08-06,FAILED,PHONE_UNREACHABLE,False,False,Delivery attempt unsuccessful
ATT-00037,ORD-10031,1,2026-08-01,DELIVERED,,True,False,Delivered successfully
ATT-00038,ORD-10032,1,2026-08-11,DELIVERED,,True,False,Delivered successfully
ATT-00039,ORD-10033,1,2026-06-08,DELIVERED,,True,False,Delivered successfully
ATT-00040,ORD-10034,1,2026-08-09,DELIVERED,,True,False,Delivered successfully
ATT-00041,ORD-10035,1,2026-07-20,DELIVERED,,True,False,Delivered successfully
ATT-00042,ORD-10036,1,2026-06-13,DELIVERED,,True,False,Delivered successfully
ATT-00043,ORD-10037,1,2026-08-11,DELIVERED,,True,False,Delivered successfully
ATT-00044,ORD-10038,1,2026-07-05,DELIVERED,,True,False,Delivered successfully
ATT-00045,ORD-10039,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00046,ORD-10040,1,2026-06-24,DELIVERED,,True,False,Delivered successfully
ATT-00047,ORD-10041,1,2026-06-07,DELIVERED,,True,False,Delivered successfully
ATT-00048,ORD-10042,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00049,ORD-10043,1,2026-08-13,DELIVERED,,True,False,Delivered successfully
ATT-00050,ORD-10044,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00051,ORD-10045,1,2026-07-01,DELIVERED,,True,False,Delivered successfully
ATT-00052,ORD-10046,1,2026-08-14,DELIVERED,,True,False,Delivered successfully
ATT-00053,ORD-10047,1,2026-07-08,DELIVERED,,True,False,Delivered successfully
ATT-00054,ORD-10048,1,2026-07-30,DELIVERED,,True,False,Delivered successfully
ATT-00055,ORD-10049,1,2026-07-12,DELIVERED,,True,False,Delivered successfully
ATT-00056,ORD-10050,1,2026-08-01,DELIVERED,,True,False,Delivered successfully
ATT-00057,ORD-10051,1,2026-08-14,DELIVERED,,True,False,Delivered successfully
ATT-00058,ORD-10052,1,2026-08-04,DELIVERED,,True,False,Delivered successfully
ATT-00059,ORD-10053,1,2026-08-28,DELIVERED,,True,False,Delivered successfully
ATT-00060,ORD-10054,1,2026-06-14,DELIVERED,,True,False,Delivered successfully
ATT-00061,ORD-10055,1,2026-06-09,DELIVERED,,True,False,Delivered successfully
ATT-00062,ORD-10056,1,2026-07-26,DELIVERED,,True,False,Delivered successfully
ATT-00063,ORD-10057,1,2026-08-28,DELIVERED,,True,False,Delivered successfully
ATT-00064,ORD-10058,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00065,ORD-10059,1,2026-06-12,DELIVERED,,True,False,Delivered successfully
ATT-00066,ORD-10060,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00067,ORD-10061,1,2026-07-30,DELIVERED,,True,False,Delivered successfully
ATT-00068,ORD-10062,1,2026-06-05,DELIVERED,,True,False,Delivered successfully
ATT-00069,ORD-10063,1,2026-08-19,DELIVERED,,True,False,Delivered successfully
ATT-00070,ORD-10064,1,2026-06-29,DELIVERED,,True,False,Delivered successfully
ATT-00071,ORD-10065,1,2026-08-20,DELIVERED,,True,False,Delivered successfully
ATT-00072,ORD-10066,1,2026-06-22,DELIVERED,,True,False,Delivered successfully
ATT-00073,ORD-10067,1,2026-06-29,DELIVERED,,True,False,Delivered successfully
ATT-00074,ORD-10068,1,2026-06-18,DELIVERED,,True,False,Delivered successfully
ATT-00075,ORD-10069,1,2026-06-06,DELIVERED,,True,False,Delivered successfully
ATT-00076,ORD-10070,1,2026-06-15,DELIVERED,,True,False,Delivered successfully
ATT-00077,ORD-10071,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00078,ORD-10072,1,2026-06-08,DELIVERED,,True,False,Delivered successfully
ATT-00079,ORD-10073,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00080,ORD-10074,1,2026-08-07,DELIVERED,,True,False,Delivered successfully
ATT-00081,ORD-10075,1,2026-07-18,DELIVERED,,True,False,Delivered successfully
ATT-00082,ORD-10076,1,2026-08-31,DELIVERED,,True,False,Delivered successfully
ATT-00083,ORD-10077,1,2026-06-13,DELIVERED,,True,False,Delivered successfully
ATT-00084,ORD-10078,1,2026-06-17,DELIVERED,,True,False,Delivered successfully
ATT-00085,ORD-10079,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00086,ORD-10080,1,2026-07-27,DELIVERED,,True,False,Delivered successfully
ATT-00087,ORD-10081,1,2026-08-01,DELIVERED,,True,False,Delivered successfully
ATT-00088,ORD-10082,1,2026-06-16,DELIVERED,,True,False,Delivered successfully
ATT-00089,ORD-10083,1,2026-07-23,DELIVERED,,True,False,Delivered successfully
ATT-00090,ORD-10084,1,2026-07-21,DELIVERED,,True,False,Delivered successfully
ATT-00091,ORD-10085,1,2026-08-31,DELIVERED,,True,False,Delivered successfully
ATT-00092,ORD-10086,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00093,ORD-10087,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00094,ORD-10088,1,2026-07-18,DELIVERED,,True,False,Delivered successfully
ATT-00095,ORD-10089,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00096,ORD-10090,1,2026-06-14,DELIVERED,,True,False,Delivered successfully
ATT-00097,ORD-10091,1,2026-07-29,DELIVERED,,True,False,Delivered successfully
ATT-00098,ORD-10092,1,2026-07-02,DELIVERED,,True,False,Delivered successfully
ATT-00099,ORD-10093,1,2026-06-26,DELIVERED,,True,False,Delivered successfully
ATT-00100,ORD-10094,1,2026-06-26,DELIVERED,,True,False,Delivered successfully
ATT-00101,ORD-10095,1,2026-08-03,DELIVERED,,True,False,Delivered successfully
ATT-00102,ORD-10096,1,2026-09-02,DELIVERED,,True,False,Delivered successfully
ATT-00103,ORD-10097,1,2026-06-18,DELIVERED,,True,False,Delivered successfully
ATT-00104,ORD-10098,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00105,ORD-10099,1,2026-06-20,DELIVERED,,True,False,Delivered successfully
ATT-00106,ORD-10100,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00107,ORD-10101,1,2026-07-02,DELIVERED,,True,False,Delivered successfully
ATT-00108,ORD-10102,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00109,ORD-10103,1,2026-06-16,FAILED,CUSTOMER_RESCHEDULED,True,True,Delivery attempt unsuccessful
ATT-00110,ORD-10103,2,2026-06-16,FAILED,PINCODE_NOT_SERVICEABLE,True,False,Delivery attempt unsuccessful
ATT-00111,ORD-10103,3,2026-06-16,FAILED,DELIVERY_DELAY,True,False,Delivery attempt unsuccessful
ATT-00112,ORD-10104,1,2026-07-23,DELIVERED,,True,False,Delivered successfully
ATT-00113,ORD-10105,1,2026-06-06,DELIVERED,,True,False,Delivered successfully
ATT-00114,ORD-10106,1,2026-08-12,DELIVERED,,True,False,Delivered successfully
ATT-00115,ORD-10107,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00116,ORD-10108,1,2026-08-01,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00117,ORD-10108,2,2026-08-01,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00118,ORD-10108,3,2026-08-01,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00119,ORD-10109,1,2026-06-12,DELIVERED,,True,False,Delivered successfully
ATT-00120,ORD-10110,1,2026-06-27,DELIVERED,,True,False,Delivered successfully
ATT-00121,ORD-10111,1,2026-08-19,DELIVERED,,True,False,Delivered successfully
ATT-00122,ORD-10112,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00123,ORD-10113,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00124,ORD-10114,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00125,ORD-10115,1,2026-08-01,DELIVERED,,True,False,Delivered successfully
ATT-00126,ORD-10116,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00127,ORD-10117,1,2026-07-23,DELIVERED,,True,False,Delivered successfully
ATT-00128,ORD-10118,1,2026-06-20,DELIVERED,,True,False,Delivered successfully
ATT-00129,ORD-10119,1,2026-08-20,DELIVERED,,True,False,Delivered successfully
ATT-00130,ORD-10120,1,2026-06-29,DELIVERED,,True,False,Delivered successfully
ATT-00131,ORD-10121,1,2026-08-08,DELIVERED,,True,False,Delivered successfully
ATT-00132,ORD-10122,1,2026-07-29,DELIVERED,,True,False,Delivered successfully
ATT-00133,ORD-10123,1,2026-07-10,FAILED,DELIVERY_DELAY,True,False,Delivery attempt unsuccessful
ATT-00134,ORD-10123,2,2026-07-10,FAILED,CUSTOMER_UNAVAILABLE,False,False,Delivery attempt unsuccessful
ATT-00135,ORD-10123,3,2026-07-10,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00136,ORD-10124,1,2026-06-18,DELIVERED,,True,False,Delivered successfully
ATT-00137,ORD-10125,1,2026-08-08,DELIVERED,,True,False,Delivered successfully
ATT-00138,ORD-10126,1,2026-06-22,DELIVERED,,True,False,Delivered successfully
ATT-00139,ORD-10127,1,2026-08-09,DELIVERED,,True,False,Delivered successfully
ATT-00140,ORD-10128,1,2026-07-26,FAILED,COD_AMOUNT_NOT_READY,False,False,Delivery attempt unsuccessful
ATT-00141,ORD-10129,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00142,ORD-10130,1,2026-08-21,DELIVERED,,True,False,Delivered successfully
ATT-00143,ORD-10131,1,2026-08-13,DELIVERED,,True,False,Delivered successfully
ATT-00144,ORD-10132,1,2026-08-31,DELIVERED,,True,False,Delivered successfully
ATT-00145,ORD-10133,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00146,ORD-10134,1,2026-06-07,DELIVERED,,True,False,Delivered successfully
ATT-00147,ORD-10135,1,2026-09-02,DELIVERED,,True,False,Delivered successfully
ATT-00148,ORD-10136,1,2026-08-31,DELIVERED,,True,False,Delivered successfully
ATT-00149,ORD-10137,1,2026-07-16,FAILED,DELIVERY_DELAY,True,False,Delivery attempt unsuccessful
ATT-00150,ORD-10137,2,2026-07-16,FAILED,CUSTOMER_RESCHEDULED,True,True,Delivery attempt unsuccessful
ATT-00151,ORD-10138,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00152,ORD-10139,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00153,ORD-10140,1,2026-07-09,FAILED,ADDRESS_INCORRECT,True,False,Delivery attempt unsuccessful
ATT-00154,ORD-10140,2,2026-07-09,FAILED,CUSTOMER_REFUSED,False,False,Delivery attempt unsuccessful
ATT-00155,ORD-10141,1,2026-07-27,DELIVERED,,True,False,Delivered successfully
ATT-00156,ORD-10142,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00157,ORD-10143,1,2026-08-15,DELIVERED,,True,False,Delivered successfully
ATT-00158,ORD-10144,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00159,ORD-10145,1,2026-06-11,DELIVERED,,True,False,Delivered successfully
ATT-00160,ORD-10146,1,2026-08-30,DELIVERED,,True,False,Delivered successfully
ATT-00161,ORD-10147,1,2026-06-08,DELIVERED,,True,False,Delivered successfully
ATT-00162,ORD-10148,1,2026-06-17,DELIVERED,,True,False,Delivered successfully
ATT-00163,ORD-10149,1,2026-07-23,DELIVERED,,True,False,Delivered successfully
ATT-00164,ORD-10150,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00165,ORD-10151,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00166,ORD-10152,1,2026-07-18,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00167,ORD-10152,2,2026-07-18,FAILED,CUSTOMER_UNAVAILABLE,False,False,Delivery attempt unsuccessful
ATT-00168,ORD-10153,1,2026-06-12,DELIVERED,,True,False,Delivered successfully
ATT-00169,ORD-10154,1,2026-08-09,DELIVERED,,True,False,Delivered successfully
ATT-00170,ORD-10155,1,2026-07-12,DELIVERED,,True,False,Delivered successfully
ATT-00171,ORD-10156,1,2026-08-18,DELIVERED,,True,False,Delivered successfully
ATT-00172,ORD-10157,1,2026-06-16,DELIVERED,,True,False,Delivered successfully
ATT-00173,ORD-10158,1,2026-08-19,DELIVERED,,True,False,Delivered successfully
ATT-00174,ORD-10159,1,2026-06-16,DELIVERED,,True,False,Delivered successfully
ATT-00175,ORD-10160,1,2026-08-12,DELIVERED,,True,False,Delivered successfully
ATT-00176,ORD-10161,1,2026-07-24,DELIVERED,,True,False,Delivered successfully
ATT-00177,ORD-10162,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00178,ORD-10163,1,2026-07-05,DELIVERED,,True,False,Delivered successfully
ATT-00179,ORD-10164,1,2026-06-12,DELIVERED,,True,False,Delivered successfully
ATT-00180,ORD-10165,1,2026-06-17,DELIVERED,,True,False,Delivered successfully
ATT-00181,ORD-10166,1,2026-09-01,DELIVERED,,True,False,Delivered successfully
ATT-00182,ORD-10167,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00183,ORD-10168,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00184,ORD-10169,1,2026-08-06,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00185,ORD-10170,1,2026-07-07,DELIVERED,,True,False,Delivered successfully
ATT-00186,ORD-10171,1,2026-08-07,DELIVERED,,True,False,Delivered successfully
ATT-00187,ORD-10172,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00188,ORD-10173,1,2026-06-20,DELIVERED,,True,False,Delivered successfully
ATT-00189,ORD-10174,1,2026-08-27,DELIVERED,,True,False,Delivered successfully
ATT-00190,ORD-10175,1,2026-07-29,DELIVERED,,True,False,Delivered successfully
ATT-00191,ORD-10176,1,2026-06-14,FAILED,ADDRESS_INCORRECT,False,False,Delivery attempt unsuccessful
ATT-00192,ORD-10176,2,2026-06-14,FAILED,PHONE_UNREACHABLE,False,False,Delivery attempt unsuccessful
ATT-00193,ORD-10176,3,2026-06-14,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00194,ORD-10177,1,2026-07-31,DELIVERED,,True,False,Delivered successfully
ATT-00195,ORD-10178,1,2026-08-29,DELIVERED,,True,False,Delivered successfully
ATT-00196,ORD-10179,1,2026-07-31,DELIVERED,,True,False,Delivered successfully
ATT-00197,ORD-10180,1,2026-07-27,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00198,ORD-10181,1,2026-07-10,DELIVERED,,True,False,Delivered successfully
ATT-00199,ORD-10182,1,2026-06-12,DELIVERED,,True,False,Delivered successfully
ATT-00200,ORD-10183,1,2026-06-17,DELIVERED,,True,False,Delivered successfully
ATT-00201,ORD-10184,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00202,ORD-10185,1,2026-07-25,DELIVERED,,True,False,Delivered successfully
ATT-00203,ORD-10186,1,2026-06-20,DELIVERED,,True,False,Delivered successfully
ATT-00204,ORD-10187,1,2026-07-26,DELIVERED,,True,False,Delivered successfully
ATT-00205,ORD-10188,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00206,ORD-10189,1,2026-07-31,DELIVERED,,True,False,Delivered successfully
ATT-00207,ORD-10190,1,2026-06-19,DELIVERED,,True,False,Delivered successfully
ATT-00208,ORD-10191,1,2026-07-05,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00209,ORD-10191,2,2026-07-05,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00210,ORD-10192,1,2026-08-28,DELIVERED,,True,False,Delivered successfully
ATT-00211,ORD-10193,1,2026-08-08,DELIVERED,,True,False,Delivered successfully
ATT-00212,ORD-10194,1,2026-07-09,DELIVERED,,True,False,Delivered successfully
ATT-00213,ORD-10195,1,2026-07-02,DELIVERED,,True,False,Delivered successfully
ATT-00214,ORD-10196,1,2026-07-05,DELIVERED,,True,False,Delivered successfully
ATT-00215,ORD-10197,1,2026-07-11,DELIVERED,,True,False,Delivered successfully
ATT-00216,ORD-10198,1,2026-08-13,DELIVERED,,True,False,Delivered successfully
ATT-00217,ORD-10199,1,2026-07-01,DELIVERED,,True,False,Delivered successfully
ATT-00218,ORD-10200,1,2026-06-28,DELIVERED,,True,False,Delivered successfully
ATT-00219,ORD-10201,1,2026-07-07,DELIVERED,,True,False,Delivered successfully
ATT-00220,ORD-10202,1,2026-08-07,DELIVERED,,True,False,Delivered successfully
ATT-00221,ORD-10203,1,2026-08-06,FAILED,COD_AMOUNT_NOT_READY,False,False,Delivery attempt unsuccessful
ATT-00222,ORD-10203,2,2026-08-06,FAILED,CUSTOMER_RESCHEDULED,True,True,Delivery attempt unsuccessful
ATT-00223,ORD-10204,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00224,ORD-10205,1,2026-08-29,DELIVERED,,True,False,Delivered successfully
ATT-00225,ORD-10206,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00226,ORD-10207,1,2026-08-22,DELIVERED,,True,False,Delivered successfully
ATT-00227,ORD-10208,1,2026-08-15,DELIVERED,,True,False,Delivered successfully
ATT-00228,ORD-10209,1,2026-07-25,DELIVERED,,True,False,Delivered successfully
ATT-00229,ORD-10210,1,2026-06-29,FAILED,COD_AMOUNT_NOT_READY,False,False,Delivery attempt unsuccessful
ATT-00230,ORD-10211,1,2026-08-14,DELIVERED,,True,False,Delivered successfully
ATT-00231,ORD-10212,1,2026-07-04,FAILED,DELIVERY_DELAY,True,False,Delivery attempt unsuccessful
ATT-00232,ORD-10212,2,2026-07-04,FAILED,CUSTOMER_UNAVAILABLE,False,False,Delivery attempt unsuccessful
ATT-00233,ORD-10213,1,2026-08-03,DELIVERED,,True,False,Delivered successfully
ATT-00234,ORD-10214,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00235,ORD-10215,1,2026-07-26,DELIVERED,,True,False,Delivered successfully
ATT-00236,ORD-10216,1,2026-08-31,DELIVERED,,True,False,Delivered successfully
ATT-00237,ORD-10217,1,2026-06-16,DELIVERED,,True,False,Delivered successfully
ATT-00238,ORD-10218,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00239,ORD-10219,1,2026-08-14,DELIVERED,,True,False,Delivered successfully
ATT-00240,ORD-10220,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00241,ORD-10221,1,2026-07-14,DELIVERED,,True,False,Delivered successfully
ATT-00242,ORD-10222,1,2026-07-11,DELIVERED,,True,False,Delivered successfully
ATT-00243,ORD-10223,1,2026-06-22,DELIVERED,,True,False,Delivered successfully
ATT-00244,ORD-10224,1,2026-07-19,DELIVERED,,True,False,Delivered successfully
ATT-00245,ORD-10225,1,2026-07-08,DELIVERED,,True,False,Delivered successfully
ATT-00246,ORD-10226,1,2026-08-18,DELIVERED,,True,False,Delivered successfully
ATT-00247,ORD-10227,1,2026-06-08,DELIVERED,,True,False,Delivered successfully
ATT-00248,ORD-10228,1,2026-07-17,DELIVERED,,True,False,Delivered successfully
ATT-00249,ORD-10229,1,2026-08-23,DELIVERED,,True,False,Delivered successfully
ATT-00250,ORD-10230,1,2026-07-04,DELIVERED,,True,False,Delivered successfully
ATT-00251,ORD-10231,1,2026-06-10,DELIVERED,,True,False,Delivered successfully
ATT-00252,ORD-10232,1,2026-07-08,DELIVERED,,True,False,Delivered successfully
ATT-00253,ORD-10233,1,2026-06-19,DELIVERED,,True,False,Delivered successfully
ATT-00254,ORD-10234,1,2026-08-27,DELIVERED,,True,False,Delivered successfully
ATT-00255,ORD-10235,1,2026-07-26,DELIVERED,,True,False,Delivered successfully
ATT-00256,ORD-10236,1,2026-08-26,FAILED,CUSTOMER_UNAVAILABLE,True,False,Delivery attempt unsuccessful
ATT-00257,ORD-10236,2,2026-08-26,FAILED,CUSTOMER_RESCHEDULED,False,True,Delivery attempt unsuccessful
ATT-00258,ORD-10237,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00259,ORD-10238,1,2026-08-28,DELIVERED,,True,False,Delivered successfully
ATT-00260,ORD-10239,1,2026-09-01,DELIVERED,,True,False,Delivered successfully
ATT-00261,ORD-10240,1,2026-08-19,DELIVERED,,True,False,Delivered successfully
ATT-00262,ORD-10241,1,2026-08-29,DELIVERED,,True,False,Delivered successfully
ATT-00263,ORD-10242,1,2026-07-15,DELIVERED,,True,False,Delivered successfully
ATT-00264,ORD-10243,1,2026-07-31,DELIVERED,,True,False,Delivered successfully
ATT-00265,ORD-10244,1,2026-08-24,DELIVERED,,True,False,Delivered successfully
ATT-00266,ORD-10245,1,2026-06-21,DELIVERED,,True,False,Delivered successfully
ATT-00267,ORD-10246,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00268,ORD-10247,1,2026-08-25,DELIVERED,,True,False,Delivered successfully
ATT-00269,ORD-10248,1,2026-07-11,DELIVERED,,True,False,Delivered successfully
ATT-00270,ORD-10249,1,2026-06-05,DELIVERED,,True,False,Delivered successfully
ATT-00271,ORD-10250,1,2026-07-02,FAILED,PINCODE_NOT_SERVICEABLE,True,False,Delivery attempt unsuccessful
ATT-00272,ORD-10250,2,2026-07-02,FAILED,DELIVERY_DELAY,False,False,Delivery attempt unsuccessful
ATT-00273,ORD-10251,1,2026-06-19,DELIVERED,,True,False,Delivered successfully
ATT-00274,ORD-10252,1,2026-07-11,DELIVERED,,True,False,Delivered successfully
ATT-00275,ORD-10253,1,2026-06-14,DELIVERED,,True,False,Delivered successfully
ATT-00276,ORD-10254,1,2026-06-13,DELIVERED,,True,False,Delivered successfully
ATT-00277,ORD-10255,1,2026-06-27,DELIVERED,,True,False,Delivered successfully
ATT-00278,ORD-10256,1,2026-08-10,DELIVERED,,True,False,Delivered successfully
ATT-00279,ORD-10257,1,2026-06-25,DELIVERED,,True,False,Delivered successfully
ATT-00280,ORD-10258,1,2026-06-28,DELIVERED,,True,False,Delivered successfully
ATT-00281,ORD-10259,1,2026-07-23,DELIVERED,,True,False,Delivered successfully
ATT-00282,ORD-10260,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00283,ORD-10261,1,2026-07-22,DELIVERED,,True,False,Delivered successfully
ATT-00284,ORD-10262,1,2026-06-13,DELIVERED,,True,False,Delivered successfully
ATT-00285,ORD-10263,1,2026-07-11,DELIVERED,,True,False,Delivered successfully
ATT-00286,ORD-10264,1,2026-06-05,DELIVERED,,True,False,Delivered successfully
ATT-00287,ORD-10265,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00288,ORD-10266,1,2026-07-28,DELIVERED,,True,False,Delivered successfully
ATT-00289,ORD-10267,1,2026-07-12,DELIVERED,,True,False,Delivered successfully
ATT-00290,ORD-10268,1,2026-08-10,DELIVERED,,True,False,Delivered successfully
ATT-00291,ORD-10269,1,2026-06-21,DELIVERED,,True,False,Delivered successfully
ATT-00292,ORD-10270,1,2026-08-13,DELIVERED,,True,False,Delivered successfully
ATT-00293,ORD-10271,1,2026-06-05,DELIVERED,,True,False,Delivered successfully
ATT-00294,ORD-10272,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00295,ORD-10273,1,2026-08-11,DELIVERED,,True,False,Delivered successfully
ATT-00296,ORD-10274,1,2026-08-19,DELIVERED,,True,False,Delivered successfully
ATT-00297,ORD-10275,1,2026-08-01,DELIVERED,,True,False,Delivered successfully
ATT-00298,ORD-10276,1,2026-07-17,DELIVERED,,True,False,Delivered successfully
ATT-00299,ORD-10277,1,2026-08-05,DELIVERED,,True,False,Delivered successfully
ATT-00300,ORD-10278,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00301,ORD-10279,1,2026-08-12,DELIVERED,,True,False,Delivered successfully
ATT-00302,ORD-10280,1,2026-08-06,DELIVERED,,True,False,Delivered successfully
ATT-00303,ORD-10281,1,2026-06-14,DELIVERED,,True,False,Delivered successfully
ATT-00304,ORD-10282,1,2026-07-18,DELIVERED,,True,False,Delivered successfully
ATT-00305,ORD-10283,1,2026-07-21,DELIVERED,,True,False,Delivered successfully
