case_id,order_id,customer_type,customer_profile,pincode,courier,order_value,signals,counter_evidence,decision,actual_outcome,reason,root_cause
CASE-1820,ORD-12546,NORMAL,6 previous orders; 1 RTO; 5 successful COD,560008,C03,1799,PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1821,ORD-10044,LOYAL,27 previous orders; 1 RTO; 19 successful COD,560014,C04,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1822,ORD-10289,LOYAL,9 previous orders; 0 RTO; 8 successful COD,560100,C02,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,RTO,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1823,ORD-10912,NORMAL,13 previous orders; 1 RTO; 12 successful COD,560003,C04,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1824,ORD-12083,LOYAL,30 previous orders; 0 RTO; 27 successful COD,560008,C02,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1825,ORD-11360,LOYAL,20 previous orders; 1 RTO; 17 successful COD,560012,C04,1799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1826,ORD-12895,NORMAL,11 previous orders; 1 RTO; 4 successful COD,560008,C07,1499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1827,ORD-12603,LOYAL,30 previous orders; 1 RTO; 16 successful COD,560003,C03,799,HIGH_COURIER_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1828,ORD-11226,LOYAL,28 previous orders; 1 RTO; 13 successful COD,560010,C07,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1829,ORD-10296,NORMAL,11 previous orders; 2 RTO; 4 successful COD,560006,C07,799,CUSTOMER_RTO_HISTORY,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1830,ORD-11241,ATYPICAL_LEGITIMATE,7 previous orders; 2 RTO; 2 successful COD,560008,C07,599,CUSTOMER_RTO_HISTORY,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1831,ORD-11005,ATYPICAL_LEGITIMATE,10 previous orders; 1 RTO; 4 successful COD,560011,C02,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1832,ORD-11665,LOYAL,28 previous orders; 1 RTO; 22 successful COD,560068,C01,1499,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1833,ORD-10746,LOYAL,27 previous orders; 0 RTO; 11 successful COD,560008,C07,1299,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1834,ORD-12851,NORMAL,12 previous orders; 3 RTO; 5 successful COD,560068,C01,1499,HIGH_PINCODE_RTO | CUSTOMER_RTO_HISTORY | PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1835,ORD-10291,LOYAL,14 previous orders; 1 RTO; 13 successful COD,560004,C03,3999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1836,ORD-10781,LOYAL,9 previous orders; 0 RTO; 3 successful COD,560001,C07,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1837,ORD-12144,NEW,0 previous orders; 0 RTO; 0 successful COD,560068,C03,599,HIGH_PINCODE_RTO | ADDRESS_NOT_VERIFIED,PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1838,ORD-10322,LOYAL,15 previous orders; 0 RTO; 11 successful COD,560012,C02,3999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1839,ORD-10298,LOYAL,30 previous orders; 1 RTO; 13 successful COD,560068,C07,3999,HIGH_PINCODE_RTO | HIGH_COURIER_PINCODE_RTO | RECENT_DETERIORATION,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1840,ORD-11298,LOYAL,15 previous orders; 1 RTO; 7 successful COD,560001,C02,3999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1841,ORD-10194,LOYAL,30 previous orders; 1 RTO; 13 successful COD,560006,C04,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1842,ORD-10063,LOYAL,14 previous orders; 1 RTO; 8 successful COD,560002,C07,4999,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1843,ORD-10393,LOYAL,28 previous orders; 1 RTO; 22 successful COD,560009,C01,3999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1844,ORD-10727,ATYPICAL_LEGITIMATE,7 previous orders; 2 RTO; 0 successful COD,560011,C04,1999,CUSTOMER_RTO_HISTORY,ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,CUSTOMER_BEHAVIOUR
CASE-1845,ORD-11583,LOYAL,27 previous orders; 0 RTO; 11 successful COD,560068,C04,1799,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1846,ORD-11547,ATYPICAL_LEGITIMATE,10 previous orders; 1 RTO; 4 successful COD,560068,C01,3999,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1847,ORD-12425,LOYAL,14 previous orders; 1 RTO; 8 successful COD,560014,C04,2999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1848,ORD-10014,LOYAL,28 previous orders; 1 RTO; 13 successful COD,560008,C04,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1849,ORD-12567,LOYAL,30 previous orders; 1 RTO; 16 successful COD,560015,C03,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1850,ORD-11600,LOYAL,8 previous orders; 0 RTO; 4 successful COD,560009,C01,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1851,ORD-11090,LOYAL,28 previous orders; 1 RTO; 13 successful COD,560012,C07,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1852,ORD-12111,LOYAL,26 previous orders; 1 RTO; 21 successful COD,560017,C02,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1853,ORD-10203,NORMAL,13 previous orders; 3 RTO; 7 successful COD,560016,C02,1299,CUSTOMER_RTO_HISTORY | PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,HOLD,RTO,Historical investigation identified meaningful RTO risk before the order was completed.,CUSTOMER_BEHAVIOUR
CASE-1854,ORD-12418,LOYAL,25 previous orders; 0 RTO; 20 successful COD,560016,C01,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1856,ORD-12901,NORMAL,9 previous orders; 1 RTO; 1 successful COD,560013,C03,4999,NO_STRONG_RISK_SIGNAL,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1857,ORD-11359,LOYAL,23 previous orders; 0 RTO; 8 successful COD,560008,C04,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1858,ORD-10772,LOYAL,27 previous orders; 0 RTO; 11 successful COD,560005,C07,1799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1859,ORD-12678,LOYAL,21 previous orders; 1 RTO; 6 successful COD,560006,C02,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1861,ORD-10718,RISKY,10 previous orders; 3 RTO; 6 successful COD,560011,C04,3999,CUSTOMER_RTO_HISTORY | PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,HOLD,RTO,Historical investigation identified meaningful RTO risk before the order was completed.,CUSTOMER_BEHAVIOUR
CASE-1862,ORD-10612,LOYAL,15 previous orders; 1 RTO; 7 successful COD,560076,C01,1799,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1863,ORD-10842,LOYAL,19 previous orders; 0 RTO; 9 successful COD,560002,C03,1799,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1864,ORD-10266,LOYAL,29 previous orders; 0 RTO; 13 successful COD,560014,C01,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1865,ORD-10051,LOYAL,11 previous orders; 0 RTO; 9 successful COD,560015,C01,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1866,ORD-11195,LOYAL,30 previous orders; 1 RTO; 13 successful COD,560011,C02,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1867,ORD-11270,LOYAL,27 previous orders; 0 RTO; 11 successful COD,560017,C07,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1868,ORD-11491,NORMAL,12 previous orders; 3 RTO; 5 successful COD,560010,C02,2999,CUSTOMER_RTO_HISTORY | PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1869,ORD-11582,LOYAL,14 previous orders; 1 RTO; 13 successful COD,560004,C01,1799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1870,ORD-10521,NORMAL,13 previous orders; 1 RTO; 12 successful COD,560068,C03,2499,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1871,ORD-11694,NEW,1 previous orders; 0 RTO; 0 successful COD,560005,C02,2999,ADDRESS_NOT_VERIFIED,PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1872,ORD-12663,NEW,2 previous orders; 0 RTO; 1 successful COD,560076,C01,999,HIGH_PINCODE_RTO,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1873,ORD-12748,RISKY,10 previous orders; 4 RTO; 5 successful COD,560013,C03,3999,CUSTOMER_RTO_HISTORY | PHONE_NOT_VERIFIED,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1874,ORD-11921,ATYPICAL_LEGITIMATE,7 previous orders; 2 RTO; 2 successful COD,560010,C07,1799,CUSTOMER_RTO_HISTORY,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1875,ORD-10102,LOYAL,30 previous orders; 0 RTO; 27 successful COD,560017,C03,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1876,ORD-10695,LOYAL,18 previous orders; 1 RTO; 7 successful COD,560010,C03,1499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1877,ORD-12332,LOYAL,24 previous orders; 0 RTO; 14 successful COD,560017,C03,2999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1878,ORD-12724,LOYAL,28 previous orders; 1 RTO; 22 successful COD,560013,C03,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1879,ORD-12272,RISKY,8 previous orders; 4 RTO; 0 successful COD,560004,C03,999,CUSTOMER_RTO_HISTORY,ADDRESS_VERIFIED | PHONE_VERIFIED,HOLD,RTO,Historical investigation identified meaningful RTO risk before the order was completed.,CUSTOMER_BEHAVIOUR
CASE-1880,ORD-12482,LOYAL,28 previous orders; 1 RTO; 13 successful COD,560010,C02,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1881,ORD-11842,LOYAL,29 previous orders; 0 RTO; 13 successful COD,560011,C01,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1882,ORD-11830,LOYAL,28 previous orders; 1 RTO; 13 successful COD,560007,C03,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1883,ORD-10794,LOYAL,25 previous orders; 1 RTO; 23 successful COD,560014,C02,799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1884,ORD-11820,NEW,0 previous orders; 0 RTO; 0 successful COD,560008,C07,2499,ADDRESS_NOT_VERIFIED | PHONE_NOT_VERIFIED,LIMITED_COUNTER_EVIDENCE,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1885,ORD-12001,NORMAL,1 previous orders; 0 RTO; 1 successful COD,560017,C03,3999,NO_STRONG_RISK_SIGNAL,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1886,ORD-10144,LOYAL,19 previous orders; 1 RTO; 17 successful COD,560076,C03,799,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1887,ORD-12525,LOYAL,22 previous orders; 1 RTO; 15 successful COD,560014,C03,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1888,ORD-11330,LOYAL,15 previous orders; 1 RTO; 7 successful COD,560003,C04,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1889,ORD-12477,ATYPICAL_LEGITIMATE,7 previous orders; 1 RTO; 4 successful COD,560015,C03,2499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1890,ORD-12881,ATYPICAL_LEGITIMATE,5 previous orders; 0 RTO; 5 successful COD,560017,C04,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1891,ORD-10321,LOYAL,15 previous orders; 1 RTO; 13 successful COD,560005,C02,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
